url_length,hostname_length,path_length,query_length,dot_count,hyphen_count,underscore_count,slash_count,question_count,equal_count,at_count,ampersand_count,percent_count,digit_count,letter_count,has_https,has_ip,subdomain_count,suspicious_word_count,is_shortened,label
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
35,27,0,0,2,0,0,2,0,0,0,0,0,8,22,1,0,1,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
23,15,0,0,2,0,0,2,0,0,0,0,0,0,18,1,0,1,0,1,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
21,13,0,0,1,0,0,2,0,0,0,0,0,0,17,1,0,0,0,0,0
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
27,19,0,0,1,0,0,2,0,0,0,0,0,0,23,1,0,0,0,1,0
26,11,7,0,1,0,0,4,0,0,0,0,0,5,15,1,0,0,0,0,1
35,26,1,0,2,1,0,3,0,0,0,0,0,6,22,1,0,1,0,0,1
73,15,50,0,5,1,0,6,0,0,0,0,0,5,55,1,0,1,0,0,1
73,13,52,0,4,0,0,5,0,0,0,0,0,25,38,1,0,0,0,0,1
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
20,12,0,0,2,0,0,2,0,0,0,0,0,0,15,1,0,1,0,0,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0
35,19,8,0,2,2,0,3,0,0,0,0,0,0,27,1,0,1,0,0,1
58,14,36,0,5,0,1,6,0,0,0,0,0,0,45,1,0,0,1,1,1
56,18,30,0,5,1,0,4,0,0,0,0,0,0,45,1,0,1,0,0,1
15,7,0,0,1,0,0,2,0,0,0,0,0,0,11,1,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
17,9,0,0,1,0,0,2,0,0,0,0,0,2,11,1,0,0,0,1,0
62,30,24,0,5,4,0,3,0,0,0,0,0,0,49,1,0,1,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,1,0
73,19,46,0,4,1,0,4,0,0,0,0,0,6,57,1,0,0,0,0,1
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
21,13,0,0,2,0,0,2,0,0,0,0,0,0,16,1,0,1,0,0,0
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
50,16,26,0,5,0,0,4,0,0,0,0,0,0,40,1,0,1,0,0,1
28,19,1,0,2,0,0,3,0,0,0,0,0,0,22,1,0,1,0,0,1
17,9,0,0,1,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0
35,26,1,0,2,1,0,3,0,0,0,0,0,6,22,1,0,1,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0
73,15,50,0,5,1,1,6,0,0,0,0,0,5,54,1,0,1,0,0,1
71,63,0,0,2,0,0,2,0,0,0,0,0,14,52,1,0,1,0,0,1
22,13,1,0,1,1,0,3,0,0,0,0,0,0,16,1,0,0,0,0,1
14,6,0,0,1,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0
24,16,0,0,1,0,0,2,0,0,0,0,0,0,20,1,0,0,0,0,0
73,19,46,0,4,1,0,4,0,0,0,0,0,4,59,1,0,0,0,0,1
22,14,0,0,1,0,0,2,0,0,0,0,0,0,18,1,0,0,0,1,0
26,18,0,0,1,0,0,2,0,0,0,0,0,0,22,1,0,0,0,0,0
24,16,0,0,1,1,0,2,0,0,0,0,0,0,19,1,0,0,0,0,0
19,11,0,0,2,0,0,2,0,0,0,0,0,0,14,1,0,1,0,0,0
60,48,4,0,5,0,0,3,0,0,0,0,0,0,51,1,0,1,1,0,1
25,17,0,0,1,0,0,2,0,0,0,0,0,0,21,1,0,0,0,0,0
29,21,0,0,1,0,0,2,0,0,0,0,0,0,25,1,0,0,0,0,0
39,30,1,0,2,1,0,3,0,0,0,0,0,0,32,1,0,1,0,0,1
29,21,0,0,1,0,0,2,0,0,0,0,0,0,25,1,0,0,0,0,0
55,43,4,0,5,3,0,3,0,0,0,0,0,2,41,1,0,1,0,0,1
26,18,0,0,2,0,0,2,0,0,0,0,0,0,21,1,0,1,0,0,0
28,13,1,0,1,0,0,4,0,0,0,0,0,0,21,1,0,0,0,0,1
37,28,1,0,2,0,0,3,0,0,0,0,0,1,30,1,0,1,0,0,1
36,27,1,0,2,0,0,3,0,0,0,0,0,2,28,1,0,1,0,0,1
73,11,54,0,4,1,0,4,0,0,0,0,0,2,61,1,0,0,0,0,1
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
39,30,1,0,2,2,0,3,0,0,0,0,0,1,30,1,0,1,0,0,1
55,21,26,0,6,0,0,6,0,0,0,0,0,0,42,1,0,2,0,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
16,8,0,0,1,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
73,15,50,0,4,0,0,4,0,0,0,0,0,7,57,1,0,0,0,0,1
20,12,0,0,1,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0
18,10,0,0,2,0,0,2,0,0,0,0,0,0,13,1,0,1,0,0,0
36,27,1,0,2,1,0,3,0,0,0,0,0,0,29,1,0,1,1,0,1
18,10,0,0,1,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0
19,11,0,0,1,0,0,2,0,0,0,0,0,0,15,1,0,0,0,0,0
